DV1_disp_2,DV2_U_shape_thick,DV3_Star_Start,DV4_projection_angle,DV5_t,DV6_ellipse_depth,DV7_ellipse_alpha,Run
3.718938377,4.4401673,17.54251939,166.0802919,1.517759824,7.025575137,0.912189358,Add_Run10
3.593039818,4.203009101,15.8535078,173.9397825,2.770756795,7.023562809,0.930852411,Add_Run12
3.646867972,4.378167411,16.02317147,178.6028377,2.601601073,7.920594221,1.162790395,Add_Run13
5.25010928,3.745822434,17.50458453,161.0917033,2.773697949,7.36383781,1.113455821,Add_Run17
3.966201912,4.298247947,17.44323016,178.6257612,1.961459656,7.30229576,0.904051666,Add_Run19
5.038979694,4.427065722,15.89778381,178.5091344,2.546191025,7.918422999,1.190952865,Add_Run26
3.625806481,4.314693437,16.22250147,172.5727137,2.776918393,7.875490806,0.959221846,Add_Run28
5.433333158,4.424674583,16.98395144,164.0846712,2.188903681,7.633653565,1.196063902,Add_Run31
4.56301093,2.439264332,17.3113294,166.9314127,1.520123104,7.465004864,1.184523937,Add_Run35
4.133884699,3.444010519,15.07118252,177.252999,1.925412872,7.00954638,1.044908118,Add_Run38
5.432377368,4.301773096,15.21852256,162.6501157,2.759613694,7.943623598,1.126790554,Add_Run39
3.666269923,4.073897484,15.62797877,160.2949718,2.48354889,7.021641196,0.919403576,Add_Run43
4.057792761,4.438619108,15.30212641,164.5444273,2.100032859,7.981549841,0.907669373,Add_Run45
5.076573431,4.377017607,17.696072,178.6372948,1.612905174,7.019966826,0.956521825,Add_Run46
4.30464212,2.352187444,16.17366041,173.2935364,1.696907381,7.094789655,0.92227132,Run2
4.848026298,3.603575076,16.524604,160.7743621,1.668814552,7.936859223,1.100205609,Run6
3.88121479,4.486213934,15.9196279,170.8180952,1.659427301,7.647264715,1.165727548,Run12
5.388821197,4.244918798,15.62911604,174.2911154,2.919521912,7.009437721,1.152293836,Run16
4.509491527,1.843140007,15.51075044,170.952279,2.33980002,7.846600328,1.085575483,Run17
3.896718271,3.901229183,16.61023336,162.1605155,1.620943117,7.748657231,1.023257066,Run21
